Solar Eclipses: 1901 - 2025,,,,,,,,
Calendar Date,TD of Greatest Eclipse,Eclipse Type,Saros Series,Eclipse Magnitude,Central Duration,Geographic Region of Eclipse Visibility,,
(Link to Global Map),(Link to Animation),(Link to Google Map),(Link to Saros),,(Link to Path Table),,,
2021 Jun 10,10:43:06,Annular,147,0.943,03m51s,"n N. America, Europe, Asia
[Annular: n Canada, Greenland, Russia]",, 
2021 Dec 04,7:34:38,Total,152,1.037,01m54s,"Antarctica, S. Africa, s Atlantic
[Total: Antarctica]",,
2022 Apr 30,20:42:36,Partial,119,0.64,-,"se Pacific, s S. America",,
2022 Oct 25,11:01:19,Partial,124,0.862,-,"Europe, ne Africa, Mid East, w Asia",,
2023 Apr 20,4:17:55,Hybrid,129,1.013,01m16s,"se Asia, E. Indies, Australia, Philippines. N.Z.
[Hybrid: Indonesia, Australia, Papua New Guinea]",,
2023 Oct 14,18:00:40,Annular,134,0.952,05m17s,"N. America, C. America, S. America
[Annular: w US, C. America, Colombia, Brazil]",,
2024 Apr 08,18:18:29,Total,139,1.057,04m28s,"N. America, C. America
[Total: Mexico, c US, e Canada]",,
2024 Oct 02,18:46:13,Annular,144,0.933,07m25s,"Pacific, s S. America
[Annular: s Chile, s Argentina]",,
2025 Mar 29,10:48:36,Partial,149,0.938,-,"nw Africa, Europe, n Russia",,
2011 Jan 04,8:51:42,Partial,151,0.858,-,"Europe, Africa, c Asia",,
2011 Jun 01,21:17:18,Partial,118,0.601,-,"e Asia, n N. America, Iceland",,
2011 Jul 01,8:39:30,Partial,156,0.097,-,s Indian Ocean,,
2011 Nov 25,6:21:24,Partial,123,0.905,-,"s Africa, Antarctica, Tasmania, N.Z.",,
2012 May 20,23:53:53,Annular,128,0.944,05m46s,"Asia, Pacific, N. America
[Annular: China, Japan, Pacific, w U.S.]",,
2012 Nov 13,22:12:55,Total,133,1.05,04m02s,"Australia, N.Z., s Pacific, s S. America
[Total: n Australia, s Pacific]",,
2013 May 10,0:26:20,Annular,138,0.954,06m03s,"Australia, N.Z., c Pacific
[Annular: n Australia, Solomon Is., c Pacific]",,
2013 Nov 03,12:47:36,Hybrid,143,1.016,01m40s,"e Americas, s Europe, Africa
[Hybrid: Atlantic, c Africa]",,
2014 Apr 29,6:04:32,Annular,148,0.987,-,"s Indian, Australia, Antarctica
[Annular: Antarctica]",,
2014 Oct 23,21:45:39,Partial,153,0.811,-,"n Pacific, N. America",,
2015 Mar 20,9:46:47,Total,120,1.045,02m47s,"Iceland, Europe, n Africa, n Asia
[Total: n Atlantic, Faeroe Is, Svalbard]",,
2015 Sep 13,6:55:19,Partial,125,0.788,-,"s Africa, s Indian, Antarctica",,
2016 Mar 09,1:58:19,Total,130,1.045,04m09s,"e Asia, Australia, Pacific
[Total: Sumatra, Borneo, Sulawesi, Pacific]",,
2016 Sep 01,9:08:02,Annular,135,0.974,03m06s,"Africa, Indian Ocean
[Annular: Atlantic, c Africa, Madagascar, Indian]",,
2017 Feb 26,14:54:32,Annular,140,0.992,00m44s,"s S. America, Atlantic, Africa, Antarctica
[Annular: Pacific, Chile, Argentina, Atlantic, Africa]",,
2017 Aug 21,18:26:40,Total,145,1.031,02m40s,"N. America, n S. America
[Total: n Pacific, U.S., s Atlantic]",,
2018 Feb 15,20:52:33,Partial,150,0.599,-,"Antarctica, s S. America",,
2018 Jul 13,3:02:16,Partial,117,0.336,-,s Australia,,
2018 Aug 11,9:47:28,Partial,155,0.737,-,"n Europe, ne Asia",,
2019 Jan 06,1:42:38,Partial,122,0.715,-,"ne Asia, n Pacific",,
2019 Jul 02,19:24:07,Total,127,1.046,04m33s,"s Pacific, S. America
[Total: s Pacific, Chile, Argentina]",,
2019 Dec 26,5:18:53,Annular,132,0.97,03m39s,"Asia, Australia
[Annular: Saudi Arabia, India, Sumatra, Borneo]",,
2020 Jun 21,6:41:15,Annular,137,0.994,00m38s,"Africa, se Europe, Asia
[Annular: c Africa, s Asia, China, Pacific]",,
2020 Dec 14,16:14:39,Total,142,1.025,02m10s,"Pacific, s S. America, Antarctica
[Total: s Pacific, Chile, Argentina, s Atlantic]",,
2001 Jun 21,12:03:46,Total,127,1.05,04m57s,"e S. America, Africa
[Total: s Atlantic, s Africa, Madagascar]",,
2001 Dec 14,20:53:01,Annular,132,0.968,03m53s,"N. & C. America, nw S. America
[Annular: c Pacific, Costa Rica]",,
2002 Jun 10,23:45:22,Annular,137,0.996,00m23s,"e Asia, Australia, w N. America
[Annular: n Pacific, w Mexico]",,
2002 Dec 04,7:32:15,Total,142,1.024,02m04s,"s Africa, Antarctica, Indonesia, Australia
[Total: s Africa, s Indian, s Australia]",,
2003 May 31,4:09:23,Annular,147,0.938,03m37s,"Europe, Asia, nw N. America
[Annular: Iceland, Greenland]",,
2003 Nov 23,22:50:22,Total,152,1.038,01m57s,"Australia, N. Z., Antarctica, s S. America
[Total: Antarctica]",,
2004 Apr 19,13:35:05,Partial,119,0.737,-,"Antarctica, s Africa",,
2004 Oct 14,3:00:23,Partial,124,0.928,-,"ne Asia, Hawaii, Alaska",,
2005 Apr 08,20:36:50,Hybrid,129,1.007,00m42s,"N. Zealand, N. & S. America
[Hybrid: s Pacific, Panama, Colombia, Venezuela]",,
2005 Oct 03,10:32:47,Annular,134,0.958,04m32s,"Europe, Africa, s Asia
[Annular: Portugal, Spain, Libia, Sudan, Kenya]",,
2006 Mar 29,10:12:22,Total,139,1.052,04m07s,"Africa, Europe, w Asia
[Total: c Africa, Turkey, Russia]",,
2006 Sep 22,11:41:16,Annular,144,0.935,07m09s,"S. America, w Africa, Antarctica
[Annular: Guyana, Suriname, F. Guiana, s Atlantic]",,
2007 Mar 19,2:32:57,Partial,149,0.876,-,"Asia, Alaska",,
2007 Sep 11,12:32:24,Partial,154,0.751,-,"S. America, Antarctica",,
2008 Feb 07,3:56:10,Annular,121,0.965,02m12s,"Antarctica, e Australia, N. Zealand
[Annular: Antarctica]",,
2008 Aug 01,10:22:12,Total,126,1.039,02m27s,"ne N. America, Europe, Asia
[Total: n Canada, Greenland, Siberia, Mongolia, China]",,
2009 Jan 26,7:59:45,Annular,131,0.928,07m54s,"s Africa, Antarctica, se Asia, Australia
[Annular: s Indian, Sumatra, Borneo]",,
2009 Jul 22,2:36:25,Total,136,1.08,06m39s,"e Asia, Pacific Ocean, Hawaii
[Total: India, Nepal, China, c Pacific]",,
2010 Jan 15,7:07:39,Annular,141,0.919,11m08s,"Africa, Asia
[Annular: c Africa, India, Burma, China]",,
2010 Jul 11,19:34:38,Total,146,1.058,05m20s,"s S. America
[Total: s Pacific, Easter Is., Chile, Argentina]",,
1991 Jan 15,23:53:51,Annular,131,0.929,07m53s,"Australia, N.Z., Antarctica, s Pacific
[Annular: sw Australia, Tasmania, N.Z., s Pacific]",,
1991 Jul 11,19:07:00,Total,136,1.08,06m53s,"e Pacific, N. & S. America
[Total: Hawaii, Mexico, C. America, Colombia, Brazil]",,
1992 Jan 04,23:05:37,Annular,141,0.918,11m41s,"n Australia, Pacific, w N. America
[Annular: c Pacific, s California]",,
1992 Jun 30,12:11:22,Total,146,1.059,05m21s,"S. America, s Atlantic, w Africa
[Total: Uruguay, s Atlantic]",,
1992 Dec 24,0:31:41,Partial,151,0.842,-,"ne Asia, n Pacific, Alaska",,
1993 May 21,14:20:14,Partial,118,0.735,-,"w N. America, n Europe, nw Asia",,
1993 Nov 13,21:45:51,Partial,123,0.928,-,"s Australia, N.Z., Antarctica, s S. America",,
